X,Y,Cluster,Region,City,Partner,Lon,Lat,Population,Strata,Salary,Ranking,SB Trade Z,Target Pen,Target P_1,Actual Pen,Ttl,IL+FS,DT,FC,St,Op,Lt,SB,Ttl g,St g,Op g,SB g,KFC Av Sal,EBITDA H12,ViT,BK,icon_url
45.035725,56.026252,Volga,Нижегородская область,Лысково,AmRest,45.035724999999999,56.026251999999999,21 176,меньше 30,23 593,good,Roadside,80 000,21 176,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
38.299825,44.850353,South,Краснодарский край,пгт. Ахтырский,AmRest,38.299824999999998,44.850352999999998,21 169,меньше 30,"0",Нет рейтинга,"0",,21 169,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
33.26696,68.142161,NW,Мурманская область,Оленегорск,AmRest,33.266959999999997,68.142161000000002,20 697,меньше 30,50 138,ok,Low Density Residential,100 000,20 697,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
48.290142,54.964153,Volga,Татарстан республика,Буинск,AmRest,48.290142000000003,54.964153000000003,20 681,меньше 30,27 351,ok,"0",100 000,20 681,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
49.876989,56.091311,Volga,Татарстан республика,Арск,AmRest,49.876989000000002,56.091310999999997,20 523,меньше 30,25 603,good,Roadside,80 000,20 523,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
28.343806,57.345188,NW,Псковская область,Остров,AmRest,28.343806000000001,57.345188000000000,20 482,меньше 30,24 157,poor,Low Density Residential,120 000,20 482,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
34.177303,59.513113,NW,Ленинградская область,Пикалёво,AmRest,34.177303000000002,59.513112999999997,19 981,меньше 30,42 134,ok,Roadside,100 000,19 981,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
38.910715,44.926403,South,Адыгея республика,пгт. Энем,AmRest,38.910715000000003,44.926403000000001,19 661,меньше 30,"0",Нет рейтинга,Roadside,,19 661,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
47.8033,56.633293,Volga,Марий Эл республика,пгт. Медведево,AmRest,47.803300000000000,56.633293000000002,19 183,меньше 30,"0",Нет рейтинга,"0",,19 183,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
30.691723,61.703306,NW,Карелия республика,Сортавала,AmRest,30.691723000000000,61.703305999999998,18 847,меньше 30,36 702,high,Low Density Residential,60 000,18 847,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
30.119748,61.036589,NW,Ленинградская область,Приозерск,AmRest,30.119748000000001,61.036588999999999,18 229,меньше 30,36 579,ok,Roadside,100 000,18 229,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
34.156813,60.912784,NW,Ленинградская область,Подпорожье,AmRest,34.156813000000000,60.912784000000002,16 942,меньше 30,36 568,ok,Roadside,100 000,16 942,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
51.412883,55.715053,Volga,Татарстан республика,Мамадыш,AmRest,51.412883000000001,55.715052999999997,15 851,меньше 30,27 501,ok,Roadside,100 000,15 851,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
